name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships
Victor Emmanuel II,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/VictorEmmanuel2.jpg/420px-VictorEmmanuel2.jpg,Savoy,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Great_coat_of_arms_of_the_king_of_italy_%281890-1946%29.svg/340px-Great_coat_of_arms_of_the_king_of_italy_%281890-1946%29.svg.png,1861,1878,,Catholic,,,
Umberto I,https://upload.wikimedia.org/wikipedia/commons/0/08/Neurdein_-_Umberto_I_di_Savoia_come_principe_ereditario.jpg,Savoy,,1878,1900,"Assassinated, 56",Catholic,,,
Victor Emmanuel III,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Eduardo_Gioja_Viktor_Emanuel_III_1913.jpg/400px-Eduardo_Gioja_Viktor_Emanuel_III_1913.jpg,Savoy,,1900,1946,,,,,
Umberto II,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Philip_de_L%C3%A1szl%C3%B3_-_Prince_Umberto_of_Savoy%2C_Prince_of_Piedmont_1928.jpg/440px-Philip_de_L%C3%A1szl%C3%B3_-_Prince_Umberto_of_Savoy%2C_Prince_of_Piedmont_1928.jpg,Savoy,,1946,1946,,,,,
