name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships
Harald V,,Glucksburg,,1991,2019,,,,,
Olav V,,,,1957,1991,,,,,
Haakon VII,,,,1905,1957,,,,,
Oscar II,,Bernadotte,,1872,1905,,,,,
